timeStamp,styleid,name,rating,reviewCount,priceNow,priceWas,size,inventory
2016-04-14T11:20:10.018,570151449,OBI WRAP SILVERTONE HARDWARE BELT,4.4,42,59.40,NA,S,20+
2016-04-14T11:20:10.018,570151449,OBI WRAP SILVERTONE HARDWARE BELT,4.4,42,59.40,NA,M,20+
2016-04-14T11:20:10.018,570151449,OBI WRAP SILVERTONE HARDWARE BELT,4.4,42,59.40,NA,L,20+
2016-04-14T11:20:10.018,570175222,RED JASPER COLLAR NECKLACE,NA,0,60.50,NA,NA,20+
2016-04-14T11:20:10.018,570166943,SILVERTONE MESH STRETCH BRACELET SET,5,1,49.50,NA,NA,20+
2016-04-14T11:20:10.018,570177795,HAMMERED COLLAR FRINGE NECKLACE,NA,0,82.50,NA,NA,20+
2016-04-14T11:20:10.018,570175136,RED JASPER THREADED STUD EARRINGS,NA,0,27.50,NA,NA,20+
2016-04-14T11:20:10.018,570135034,PENDANT NECKLACE WITH CRYSTALS FROM SWAROVSKI,4.8,13,33.00,NA,NA,20+
2016-04-14T11:20:10.018,570167742,ROUND METAL SUNGLASSES,NA,0,41.80,NA,NA,20+
2016-04-14T11:20:10.018,570175290,ANGULAR STUD EARRINGS WITH CRYSTALS FROM SWAROVSKI,NA,0,27.50,NA,NA,20+
2016-04-14T11:20:10.018,570169978,ABSTRACT FLORAL-PRINT SCARF,4,2,52.80,NA,NA,20+
2016-04-14T11:20:10.018,570166928,GOLDTONE MESH STRETCH BRACELET SET,5,1,49.50,NA,NA,20+
2016-04-14T11:20:10.018,570172961,JASPER SHORT PENDANT NECKLACE,NA,0,38.50,NA,NA,20+
2016-04-14T11:20:10.018,570172662,ANGULAR SHORT NECKLACE WITH CRYSTALS FROM SWAROVSKI,NA,0,33.00,NA,NA,20+
2016-04-14T11:20:10.018,570177668,SHELL STACKED STRETCH BRACELET,NA,0,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570177373,CUTOUT SECTION COLLAR NECKLACE,NA,0,49.50,NA,NA,20+
2016-04-14T11:20:10.018,570165516,BEADED TASSEL DROP NECKLACE,5,2,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570172779,JET DOGTAG PENDANT NECKLACE,NA,0,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570168010,LEATHER EXOTIC PRINT D’ORSAY FLATS,4.2,5,121.00,NA,5,1
2016-04-14T11:20:10.018,570172683,HOWLITE BEADED FRIENSHIP NECKLACE,NA,0,49.50,NA,NA,20+
2016-04-14T11:20:10.018,570166833,BEADED SODALITE DROP NECKLACE,5,1,60.50,NA,NA,20+
2016-04-14T11:20:10.018,570175226,THREAD WRAPPED COLLAR NECKLACE,NA,0,55.00,NA,NA,20+
2016-04-14T11:20:10.018,570134732,CONVERTIBLE PAVE NECKLACE,4.5,18,44.00,NA,NA,20+
2016-04-14T11:20:10.018,570167749,MIRRORED AVIATOR SUNGLASSES,5,1,41.80,NA,NA,20+
2016-04-14T11:20:10.018,570173031,FRESHWATER PEARL TASSEL NECKLACE,5,3,82.50,NA,NA,20+
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,5,13
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,5.5,10
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,6,20+
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,6.5,20+
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,7,20+
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,7.5,20+
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,8,20+
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,8.5,20+
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,9,20+
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,9.5,19
2016-04-14T11:20:10.018,570171939,LACE-UP CORK WEDGE SANDALS,NA,0,137.50,NA,10,20+
