timeStamp,styleid,name,rating,ratingCount,price,priceNow,priceWas,size,inventory
2016-02-06 08:13:05.423,570164244,Sleeveless Double-Breasted Topper,0.0,0,154.00,NA,NA,8,20+
2016-02-06 08:13:05.423,570164244,Sleeveless Double-Breasted Topper,0.0,0,154.00,NA,NA,10,20+
2016-02-06 08:13:05.423,570164244,Sleeveless Double-Breasted Topper,0.0,0,154.00,NA,NA,12,20+
2016-02-06 08:13:05.423,570164244,Sleeveless Double-Breasted Topper,0.0,0,154.00,NA,NA,14,20+
2016-02-06 08:13:05.423,570164244,Sleeveless Double-Breasted Topper,0.0,0,154.00,NA,NA,16,20+
2016-02-06 08:13:05.423,570171233,Twill Skimmer Jeans,0.0,0,NA,72.60,96.80,00,20+
2016-02-06 08:13:05.423,570171233,Twill Skimmer Jeans,0.0,0,NA,72.60,96.80,0,20+
2016-02-06 08:13:05.423,570171233,Twill Skimmer Jeans,0.0,0,NA,72.60,96.80,2,20+
2016-02-06 08:13:05.423,570171233,Twill Skimmer Jeans,0.0,0,NA,72.60,96.80,4,20+
2016-02-06 08:13:05.423,570171233,Twill Skimmer Jeans,0.0,0,NA,72.60,96.80,6,20+
2016-02-06 08:13:05.423,570171233,Twill Skimmer Jeans,0.0,0,NA,72.60,96.80,8,20+
2016-02-06 08:13:05.423,570171233,Twill Skimmer Jeans,0.0,0,NA,72.60,96.80,10,20+
2016-02-06 08:13:05.423,570171233,Twill Skimmer Jeans,0.0,0,NA,72.60,96.80,12,20+
2016-02-06 08:13:05.423,570171233,Twill Skimmer Jeans,0.0,0,NA,72.60,96.80,14,20+
2016-02-06 08:13:05.423,570171233,Twill Skimmer Jeans,0.0,0,NA,72.60,96.80,16,20+
2016-02-06 08:13:05.423,570149124,Side Stripe Tunic,4.6,20,NA,32.99,107.80,XS,20+
2016-02-06 08:13:05.423,570149124,Side Stripe Tunic,4.6,20,NA,32.99,107.80,S,20+
2016-02-06 08:13:05.423,570149124,Side Stripe Tunic,4.6,20,NA,32.99,107.80,M,20+
2016-02-06 08:13:05.423,570149124,Side Stripe Tunic,4.6,20,NA,32.99,107.80,L,20+
2016-02-06 08:13:05.423,570162898,Petite Saint Honore Distressed Skinny Jeans,5.0,1,NA,72.60,96.80,2 - Petite,20+
2016-02-06 08:13:05.423,570162898,Petite Saint Honore Distressed Skinny Jeans,5.0,1,NA,72.60,96.80,4 - Petite,20+
2016-02-06 08:13:05.423,570162898,Petite Saint Honore Distressed Skinny Jeans,5.0,1,NA,72.60,96.80,6 - Petite,20+
2016-02-06 08:13:05.423,570162898,Petite Saint Honore Distressed Skinny Jeans,5.0,1,NA,72.60,96.80,8 - Petite,20+
2016-02-06 08:13:05.423,570162898,Petite Saint Honore Distressed Skinny Jeans,5.0,1,NA,72.60,96.80,10 - Petite,20+
2016-02-06 08:13:05.423,570162898,Petite Saint Honore Distressed Skinny Jeans,5.0,1,NA,72.60,96.80,12 - Petite,20+
2016-02-06 08:13:05.423,570162898,Petite Saint Honore Distressed Skinny Jeans,5.0,1,NA,72.60,96.80,14 - Petite,20+
2016-02-06 08:13:05.423,570166137,Petite Spacedye Duster,4.5,2,NA,54.99,96.80,XS - Petite,20+
2016-02-06 08:13:05.423,570166137,Petite Spacedye Duster,4.5,2,NA,54.99,96.80,S - Petite,20+
2016-02-06 08:13:05.423,570166137,Petite Spacedye Duster,4.5,2,NA,54.99,96.80,M - Petite,20+
2016-02-06 08:13:05.423,570166137,Petite Spacedye Duster,4.5,2,NA,54.99,96.80,L - Petite,20+
2016-02-06 08:13:05.423,570166137,Petite Spacedye Duster,4.5,2,NA,54.99,96.80,XL - Petite,20+
2016-02-06 08:13:05.423,570166137,Petite Spacedye Duster,4.5,2,NA,54.99,96.80,XXS - Petite,20+
2016-02-06 08:13:05.423,570148573,Long Sleeve Essential Coverup,4.74,39,NA,54.99,96.80,XS,20+
2016-02-06 08:13:05.423,570148573,Long Sleeve Essential Coverup,4.74,39,NA,54.99,96.80,S,20+
2016-02-06 08:13:05.423,570148573,Long Sleeve Essential Coverup,4.74,39,NA,54.99,96.80,M,20+
2016-02-06 08:13:05.423,570148573,Long Sleeve Essential Coverup,4.74,39,NA,54.99,96.80,L,20+
2016-02-06 08:13:05.423,570148573,Long Sleeve Essential Coverup,4.74,39,NA,54.99,96.80,XL,20+
2016-02-06 08:13:05.423,570161916,Chunky Platform Heels,5.0,4,143.00,NA,NA,5,20+
2016-02-06 08:13:05.423,570161916,Chunky Platform Heels,5.0,4,143.00,NA,NA,6,20+
2016-02-06 08:13:05.423,570161916,Chunky Platform Heels,5.0,4,143.00,NA,NA,7,20+
2016-02-06 08:13:05.423,570161916,Chunky Platform Heels,5.0,4,143.00,NA,NA,7.5,20+
2016-02-06 08:13:05.423,570161916,Chunky Platform Heels,5.0,4,143.00,NA,NA,8,20+
2016-02-06 08:13:05.423,570161916,Chunky Platform Heels,5.0,4,143.00,NA,NA,8.5,20+
2016-02-06 08:13:05.423,570161916,Chunky Platform Heels,5.0,4,143.00,NA,NA,9,20+
